10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
10, 2; 10, 2; 3, 3, 3, 3; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 3, 3, 3, 3; 10, 2;  200
10, 2; 10, 2; 10, 2; 10, 2; 3, 3, 3, 3;  192
комбинации типов
3, 3, 3, 3; 3, 3, 3, 3; 10, 2; 10, 2; 10, 2;  192
3, 3, 3, 3; 10, 2; 3, 3, 3, 3; 10, 2; 10, 2;  192
3, 3, 3, 3; 10, 2; 10, 2; 3, 3, 3, 3; 10, 2;  192
3, 3, 3, 3; 10, 2; 10, 2; 10, 2; 3, 3, 3, 3;  192
10, 2; 3, 3, 3, 3; 3, 3, 3, 3; 10, 2; 10, 2;  192
10, 2; 3, 3, 3, 3; 10, 2; 3, 3, 3, 3; 10, 2;  200
10, 2; 3, 3, 3, 3; 10, 2; 10, 2; 3, 3, 3, 3;  192
10, 2; 10, 2; 3, 3, 3, 3; 3, 3, 3, 3; 10, 2;  200
10, 2; 10, 2; 3, 3, 3, 3; 10, 2; 3, 3, 3, 3;  192
10, 2; 10, 2; 10, 2; 3, 3, 3, 3; 3, 3, 3, 3;  200
окрестность 1 вида
4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2;  192
комбинации типов
4, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
4, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2;  192
4, 2, 2, 2, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2;  192
4, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2;  192
10, 2; 4, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 4, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2;  192
10, 2; 4, 2, 2, 2, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2;  192
10, 2; 10, 2; 4, 2, 2, 2, 2; 4, 2, 2, 2, 2; 10, 2;  192
